Particle Type,Pressure (mbar),f1 Peak Frequency (Hz),f2 Peak Frequency (Hz),f3 Peak Frequency (Hz),f1 Radius (m),f2 Radius (m),f3 Radius (m),f1 Mass (kg),f2 Mass (kg),f3 Mass (kg),f1 Damping,f2 Damping,f3 Damping,f1 A Parameter,f2 A Parameter,f3 A Parameter,f1 Conversion Factor (V m^-1),f2 Conversion Factor (V m^-1),f3 Conversion Factor (V m^-1),f1 Signal,f2 Signal,f3 Signal,Noise Floor,f1 Signal-to-noise Value,f2 Signal-to-noise Value,f3 Signal-to-noise Value
25A 1000uM Final ZnCl2 SiNP,3.51,135945.0,210053.0,235280.0,1.58e-07,1.85e-07,6.25e-08,2.9500000000000005e-17,4.8000000000000003e-17,1.8400000000000002e-18,3360.0,2860.0,8500.0,1529000000.0,8930000000.0,723000000.0,40000.0,134000.0,4400.0,1.1281662e-10,6.476498e-10,3.0377983e-12,2.4158122e-13,466.9925,2680.8782,12.574646
25A 1000uM Final ZnCl2 SiNP,3.5,134333.0,214579.0,243362.0,7.690000000000001e-08,1.2199999999999998e-07,1.06e-07,3.4e-18,1.3700000000000003e-17,9.000000000000001e-18,6880.0,4340.0,4990.0,94800000.0,3610000000.0,971000000.0000001,2390.0,37000.0,14500.0,7.20379e-12,2.0737641e-10,2.3461998e-11,2.0781326e-13,34.664726,997.8979,112.89943
25A 1000uM Final ZnCl2 SiNP,3.56,137273.0,215451.0,242711.0,1.0569999999999999e-07,1.2199999999999998e-07,9.039999999999999e-08,8.9e-18,1.38e-17,5.6e-18,5090.0,4400.0,5950.0,649000000.0,9020000000.0,1209000000.0,11700.0,58000.0,11700.0,4.4277103e-11,4.069689e-10,1.0887562e-11,2.4766173e-13,178.78056,1643.245,43.961422
25A 1000uM Final ZnCl2 SiNP,3.5,136165.0,217390.0,247626.0,5.68e-08,1.31e-07,9.5e-08,1.38e-18,1.68e-17,6.500000000000001e-18,9310.0,4050.0,5560.0,198000000.0,4910000000.0,1390000000.0,1880.0,50000.0,14000.0,5.2757946e-12,2.2607868e-10,3.357982e-11,2.1920276e-13,24.068102,1031.3679,153.19067
25A 1000uM Final ZnCl2 SiNP,3.53,135127.0,212289.0,239375.0,1.3e-07,1.3999999999999998e-07,1.1e-07,1.64e-17,2.07e-17,1.01e-17,4110.0,3810.0,4830.0,434999999.99999994,6310000000.0,855000000.0000001,14500.0,64000.0,14700.0,4.482738e-11,3.3847233e-10,1.3656092e-11,2.2458072e-13,199.60477,1507.13,60.807056
25A 1000uM Final ZnCl2 SiNP,3.54,136828.0,215546.0,243222.0,1.24e-07,1.62e-07,9.8e-08,1.42e-17,3.2e-17,7.1e-18,4330.0,3300.0,5450.0,341000000.0,5440000000.0,955000000.0000001,11600.0,80000.0,12300.0,2.0090707e-11,2.0318229e-10,2.776631e-11,2.1496032e-13,93.462395,945.2084,129.16946
25A 1000uM Final ZnCl2 SiNP,3.52,137092.0,210426.0,237570.0,9.359999999999999e-08,1.0489999999999999e-07,5.5800000000000003e-08,6.200000000000001e-18,8.7e-18,1.3100000000000002e-18,5680.0,5070.0,9530.0,5330000000.0,24000000000.0,1263000000.0,26400.0,71000.0,4600.0,1.4552647e-10,8.5999247e-10,8.169964e-12,2.3842183e-13,610.3739,3607.0208,34.266846
25A 1000uM Final ZnCl2 SiNP,3.53,137390.0,212556.0,238166.0,1.55e-07,1.63e-07,6.46e-08,2.78e-17,3.3e-17,2.03e-18,3450.0,3270.0,8300.0,1751000000.0,10710000000.0,774000000.0,41000.0,112999.99999999999,4800.0,2.1766465e-10,1.112375e-09,7.517769e-12,2.4539547e-13,886.99536,4532.989,30.635323
25A 1000uM Final ZnCl2 SiNP,3.57,132203.0,208450.0,236041.0,5.55e-08,7.54e-08,6.43e-08,1.29e-18,3.23e-18,2.01e-18,9720.0,7160.0,8380.0,266000000.0,11080000000.000002,2410000000.0,2060.0,24600.0,8400.0,5.7699037e-12,7.886e-11,8.493429e-12,2.244619e-13,25.705492,351.32913,37.83907
25A 1000uM Final ZnCl2 SiNP,3.54,137359.0,216080.0,243579.0,1.4199999999999997e-07,1.4199999999999997e-07,9.1e-08,2.1600000000000002e-17,2.17e-17,5.7000000000000005e-18,3760.0,3760.0,5860.0,416000000.0,6910000000.0,1090000000.0,17000.0,69000.0,11299.999999999998,3.5352207e-11,1.5236963e-10,1.4918193e-11,2.354818e-13,150.12714,647.0548,63.351788
25A 1000uM Final ZnCl2 SiNP,3.51,135679.0,218892.0,248509.0,4.43e-08,1.1e-07,9.41e-08,6.5e-19,1.0200000000000001e-17,6.3e-18,12000.0,4800.0,5630.0,61700000.0,3200000000.0,1151000000.0,640.0,28600.0,12500.0,1.0814635e-12,8.749506e-11,1.4412544e-11,2.3754658e-13,4.5526376,368.328,60.672497
25A 1000uM Final ZnCl2 SiNP,3.55,135462.0,219001.0,249256.0,3.99e-08,1.1e-07,9.27e-08,4.7999999999999995e-19,1e-17,6.0000000000000004e-18,13500.0,4880.0,5790.0,57900000.0,2780000000.0,1018000000.0,500.0,26200.0,11299.999999999998,5.1677006e-13,5.5806724e-11,9.579129e-12,2.3395066e-13,2.2088847,238.54057,40.945084
25A 1000uM Final ZnCl2 SiNP,3.58,138178.0,214524.0,240922.0,1.7199999999999998e-07,1.7099999999999998e-07,7.61e-08,3.8e-17,3.8e-17,3.3e-18,3140.0,3160.0,7110.0,1249000000.0,9470000000.0,841000000.0,43000.0,117000.0,6900.0,1.221751e-10,7.1353545e-10,9.54416e-12,2.372505e-13,514.96246,3007.519,40.228195
25A 1000uM Final ZnCl2 SiNP,3.54,136150.0,212514.0,241436.0,8.12e-08,9.58e-08,6.65e-08,4e-18,6.6e-18,2.21e-18,6580.0,5580.0,8039.999999999999,1750000000.0,19960000000.0,3010000000.0,11399.999999999998,53000.0,10000.0,4.443061e-11,4.837595e-10,1.7480805e-11,2.4544592e-13,181.01996,1970.9413,71.2206
25A 1000uM Final ZnCl2 SiNP,3.5,137253.0,213576.0,239764.0,1.39e-07,1.55e-07,7.21e-08,2.0299999999999998e-17,2.8e-17,2.8e-18,3800.0,3410.0,7330.0,1183000000.0,8650000000.0,881000000.0,27599.999999999996,93000.0,6400.0,1.0795585e-10,4.802194e-10,5.422999e-12,2.3793768e-13,453.7148,2018.2571,22.791677
25T 1000uM Final ZnCl2 SiNP,3.54,121284.0,192522.0,217552.0,9.01e-08,1.3e-07,1.04e-07,5.5e-18,1.66e-17,8.6e-18,5940.0,4110.0,5130.0,108900000.0,2890000000.0,613000000.0,3500.0,38000.0,11100.000000000002,6.328108e-12,1.0312287e-10,1.0391302e-11,2.100399e-13,30.128124,490.96802,49.472992
25T 1000uM Final ZnCl2 SiNP,3.56,122115.0,189902.0,213659.0,1.3999999999999998e-07,1.4699999999999998e-07,8.07e-08,2.0800000000000003e-17,2.3900000000000004e-17,4e-18,3840.0,3660.0,6660.0,906000000.0,5990000000.0,646000000.0,24300.0,69000.0,6800.0,1.17861e-10,3.0367883e-10,9.7441725e-12,2.382045e-13,494.78912,1274.8661,40.906754
25T 1000uM Final ZnCl2 SiNP,3.53,113837.0,176758.0,196630.0,7.77e-08,8.560000000000001e-08,5.91e-08,3.5400000000000004e-18,4.7000000000000004e-18,1.5500000000000002e-18,6860.0,6230.0,9030.0,626000000.0,10420000000.0,1107000000.0,6200.0,30900.0,4800.0,2.1198779e-11,2.0428655e-10,1.1379011e-11,2.3799552e-13,89.072174,858.363,47.811867
25T 1000uM Final ZnCl2 SiNP,3.51,120168.0,187214.0,210329.0,1.34e-07,1.6699999999999997e-07,8.19e-08,1.7900000000000002e-17,3.5e-17,4.1e-18,3970.0,3180.0,6470.0,519000000.00000006,4310000000.0,469000000.00000006,16800.0,76000.0,6000.0,2.8963436e-11,3.0765998e-10,1.6117786e-11,2.1070401e-13,137.4603,1460.1525,76.49492
